transaction_ref,processed_at,order_reference,currency,amount,fee,net_settled,type,status
TXN700112,02/04/2025 18:39,ORD-1113,USD,191.88,5.86,186.02,charge,settled
TXN700054,05/04/2025 00:02,ORD-1055,USD,160.83,4.96,155.87,charge,settled
TXN700089,21/04/2025 22:05,ORD-1090,USD,347.93,10.39,337.54,charge,settled
TXN700047,30/04/2025 08:11,ORD-1048,USD,421.64,12.53,409.11,charge,settled
TXN700132,22/04/2025 00:56,ORD-1133,USD,389.55,11.6,377.95,charge,settled
TXN700090,20/04/2025 21:38,ORD-1091,USD,194.65,5.94,188.71,charge,settled
TXN700130,22/05/2025 03:45,ORD-1131,USD,346.72,10.35,336.37,charge,settled
TXN700010,07/05/2025 06:30,ORD-1011,USD,342.63,10.24,332.39,charge,settled
TXN700058,06/04/2025 13:41,ORD-1059,USD,288.61,8.67,279.94,charge,settled
TXN700167,28/04/2025 00:12,ORD-1501,USD,119.84,3.78,116.06,charge,settled
TXN700109,10/04/2025 07:28,ORD-1110,USD,193.11,5.9,187.21,charge,settled
TXN700184,09/05/2025 00:14,ORD-2002,USD,67.0,2.24,64.76,charge,pending
TXN700008,22/05/2025 01:49,ORD-1009,USD,318.9,9.55,309.35,charge,settled
TXN700166,08/05/2025 00:20,ORD-1403,USD,259.01,7.81,251.2,charge,settled
TXN700143,15/04/2025 13:15,ORD-1144,USD,336.68,10.06,326.62,charge,settled
TXN700068,14/04/2025 22:03,ORD-1069,USD,309.92,9.29,300.63,charge,settled
TXN700015,11/04/2025 15:12,ORD-1016,USD,162.73,5.02,157.71,charge,settled
TXN700038,22/04/2025 00:29,ORD-1039,USD,288.56,8.67,279.89,charge,settled
TXN700019,27/05/2025 20:32,ORD-1020,USD,228.37,6.92,221.45,charge,settled
TXN700033,23/05/2025 02:17,ORD-1034,USD,422.78,12.56,410.22,charge,settled
TXN700131,05/05/2025 14:23,ORD-1132,USD,322.61,9.66,312.95,charge,settled
TXN700003,03/05/2025 20:24,ORD-1004,USD,27.34,1.09,26.25,charge,settled
TXN700013,23/04/2025 07:23,ORD-1014,USD,277.64,8.35,269.29,charge,settled
TXN700104,19/05/2025 14:55,ORD-1105,USD,254.9,7.69,247.21,charge,settled
TXN700153,22/04/2025 05:15,ORD-1154,USD,463.96,13.75,450.21,charge,settled
TXN700140,06/05/2025 00:31,ORD-1141,USD,255.23,7.7,247.53,charge,settled
TXN700031,30/05/2025 11:08,ORD-1032,USD,423.61,12.58,411.03,charge,settled
TXN700026,22/04/2025 03:01,ORD-1027,USD,151.48,4.69,146.79,charge,settled
TXN700185,06/05/2025 00:00,ORD-2101,USD,190.0,5.81,184.19,charge,settled
TXN700126,18/05/2025 22:14,ORD-1127,USD,68.26,2.28,65.98,charge,settled
TXN700071,18/05/2025 14:02,ORD-1072,USD,257.95,7.78,250.17,charge,settled
TXN700122,12/05/2025 02:04,ORD-1123,USD,321.53,9.62,311.91,charge,settled
TXN700162,15/04/2025 00:00,ORD-1302,USD,78.98,2.59,76.39,charge,settled
TXN700120,22/04/2025 12:11,ORD-1121,USD,137.17,4.28,132.89,charge,settled
TXN700030,29/05/2025 00:15,ORD-1031,USD,278.83,8.39,270.44,charge,settled
TXN700057,27/05/2025 19:20,ORD-1058,USD,116.54,3.68,112.86,charge,settled
TXN700114,22/05/2025 19:35,ORD-1115,USD,410.86,12.21,398.65,charge,settled
TXN700078,22/05/2025 21:21,ORD-1079,USD,416.79,12.39,404.4,charge,settled
TXN700100,25/04/2025 16:29,ORD-1101,USD,200.84,6.12,194.72,charge,settled
TXN700155,14/05/2025 01:11,ORD-1156,USD,77.0,2.53,74.47,charge,settled
TXN700103,09/04/2025 14:41,ORD-1104,USD,292.88,8.79,284.09,charge,settled
TXN700049,30/05/2025 07:28,ORD-1050,USD,87.71,2.84,84.87,charge,settled
TXN700169,12/05/2025 00:12,ORD-1502,USD,128.74,4.03,124.71,charge,settled
TXN700180,23/05/2025 00:15,ORD-1901,USD,135.39,4.23,131.16,charge,settled
TXN700146,15/04/2025 04:09,ORD-1147,USD,350.4,10.46,339.94,charge,settled
TXN700176,15/05/2025 00:08,ORD-1703,USD,99.0,3.17,95.83,charge,settled
TXN700000,11/05/2025 03:29,ORD-1001,USD,26.63,1.07,25.56,charge,settled
TXN700052,16/05/2025 00:03,ORD-1053,USD,430.08,12.77,417.31,charge,settled
TXN700093,24/05/2025 01:15,ORD-1094,USD,156.3,4.83,151.47,charge,settled
TXN700023,11/04/2025 21:49,ORD-1024,USD,211.3,6.43,204.87,charge,settled
TXN700121,01/05/2025 00:29,ORD-1122,USD,363.3,10.84,352.46,charge,settled
TXN700051,25/04/2025 08:55,ORD-1052,USD,423.54,12.58,410.96,charge,settled
TXN700161,01/05/2025 00:00,ORD-1301,USD,79.51,2.61,76.9,charge,settled
TXN700085,28/04/2025 20:14,ORD-1086,USD,472.67,14.01,458.66,charge,settled
TXN700147,19/05/2025 23:02,ORD-1148,USD,101.09,3.23,97.86,charge,settled
